SI:NO,Book Name ,Book Category,road map,Book content page number,15,image,"|||h|||h|||t|||t|||hello|||Good
H|||Good
H|||Good
H|||Good
H|||Good
H|||HELLO",12,pdf name ,content,author name
0,JAVA PROGRAMMING - Mr.E.Karunakar   Technical,Technical,1,5to5,2,assets/images/java.jpg,|||Good|||Good|||Good Book|||Good Book|||Good 1|||Good 12|||good|||good|||helo|||HI|||hi|||hi|||hi|||hi|||hi|||hi|||hi|||hi,18,JAVA PROGRAMMING Notes,JAVA PROGRAMMING Notes_content, Mr.E.Karunakar
1,LEARNING PYTHON - Fabrizio Romano   Technical,Technical,2,15to22,,assets/images/learningpython.jpg,,,learning-python,learning-python_content, Fabrizio Romano
2,"THE C PROGRAMMING LANGUAGE - Brian W.Kernighan,Dennis M.Ritchie Technical",Technical,3,2to5,1,assets/images/c.jpg,"|||h|||h|||t|||t|||hello|||Good
H|||Good
H|||Good
H|||Good
H|||Good
H|||Good|||Good",13,The C Programming Language - 2nd edition,The C Programming Language - 2nd edition_content," Brian W.Kernighan,Dennis M.Ritchie"
3,THE C++ PROGRAMMING LANGUAGE - Bjarne Stroustrup    Technical,Technical,4,5to6,4,assets/images/c++.jpg,|||good|||good,2,The C++ Programming Language Special Edition,The C++ Programming Language Special Edition_content, Bjarne Stroustrup
4,JAVASCRIPT BY EXAMPLE - Ellie Quigley   Technical,Technical,5,7to16,4,assets/images/javascript1.jpg,|||GOOD BOOK|||GOOD BOOK,2,javascript tutorials,javascript tutorials_content, Ellie Quigley
5,THE FAULT IN OUR STARS - John Green     Fiction story,Fiction story,1,7to7,,assets/images/thefault.jpg,,,The faultin our stars,The faultin our stars_content, John Green 
6,SIX OF CROWS - Leigh Bardugo    Fiction story,Fiction story,2,6to9,,assets/images/sixcrows.jpg,,,Six of crows part-1,Six of crows part-1_content, Leigh Bardugo
7,SIX OF CROWS - Leigh Bardugo    Fiction story,Fiction story,3,6to9,,assets/images/sixcrows.jpg,,,Six of crows part-2,Six of crows part-2_content, Leigh Bardugo
8,COURT OF MIST FURY - Sarah J.Maas   Fiction story,Fiction story,4,5to7,,assets/images/court.jpg,,,A court of mist and fury,A court of mist and fury_content, Sarah J.Maas
9,TO KILL A MOCKINGBIRD - Harper lee  Fiction story,Fiction story,5,8to9,,assets/images/kill.jpg,,,To kill a mocking bird,To kill a mocking bird_content, Harper lee
10,ALL YOUR PERFECTS  - Colleen Hoover     Romance,Romance,1,5to6,,assets/images/colleen.jpg,,,All your perfects,All your perfects_content, Colleen Hoover 
11,VERITY - Colleen Hoover     Romance,Romance,2,5to6,,assets/images/verify.jpg,,,Verity,Verity_content, Colleen Hoover 
12,THE HATING GAME  - Sally Thorne Romance,Romance,3,5to6,,assets/images/hating.jpg,,,The hating game,The hating game_content, Sally Thorne
13,PEOPLE WE MEET ON VACATION - Emily Henry    Romance,Romance,4,9to10,,assets/images/people.jpg,,,People we meet on vacation,People we meet on vacation_content, Emily Henry
14,THE SPANISH LOVE DECEPTION - Elena armas    Romance,Romance,5,6to6,,assets/images/spanish.jpg,,,The-Spanish-Love-Deception,The-Spanish-Love-Deception_content, Elena armas
15,WHAT I TALK ABOUT WHEN I TALK ABOUT RUNNING  - Haruki Murakami  Self-love ,Self-love ,1,4to4,,assets/images/what.jpg,,,Murakami,Murakami_content, Haruki Murakami
16,MAN'S SEARCH FOR MEANING  - Viktor E.Frankl Self-love ,Self-love ,2,6to6,,assets/images/man.jpg,,,Man'ssearch for meaning,Man'ssearch for meaning_content, Viktor E.Frankl
17,THE ALCHEMIST - Paulo coelho    Self-love ,Self-love ,3,4to4,,assets/images/alchemist.jpg,,,The alchemist,The alchemist_content, Paulo coelho
18,THINK AND GROW RICH - Napoleon Hill Compiled by Ross Cornwell   Self-love ,Self-love ,4,5to7,,assets/images/think.jpg,,,Think and grow rich-1,Think and grow rich-1_content, Napoleon Hill Compiled by Ross Cornwell
19,IKIGAI - Hector Garcia and Francesc Miralles    Self-love ,Self-love ,5,8to9,,assets/images/lkigai.jpg,,,Ikigai,Ikigai_content, Hector Garcia and Francesc Miralles
20,PYTHON PROGRAMMING FOR BEGINNERS - Adam stewart Technical,Web-dev,1,4to4,,assets/images/python.jpg,,,Python Books PDf-1-115-2-60,Python Books PDf-1-115-2-60_content, Adam stewart
21,PYTHON PROGRAMMING FOR INTERMEDIATES - Adam stewart Technical,Web-dev,2,4to4,,assets/images/python.jpg,,,Python Books PDf-1-115-61-115,Python Books PDf-1-115-61-115_content, Adam stewart
22,ADVANCED GUIDE TO PYTHON 3 PROGRAMMING - John hunt  Technical,Web-dev,3,14to27,,assets/images/python.jpg,,,2019_Book_AdvancedGuideToPython3Programm,2019_Book_AdvancedGuideToPython3Programm_content, John hunt
